name,milliseconds
Don't Stop Me Now,211826
Rubens,211853
Panama,211853
Sweet Soul Sister,212009
I Guess You're Right,212044
Low Desert,212062
Warning,212062
The Messenger,212062
Beach Sequence,212297
Um Lugar ao Sol,212323
Querem Meu Sangue,212401
Night Train,212401
Highway Chile,212453
Palavras Ao Vento,212453
Gatas Extraordinárias,212506
Blues For Pablo (Alternate Take),212558
Stay Away,212636
Samba Em Prelúdio,212636
Power to the People,213018
Nothing Left to Say But Goodbye,213041
Hush,213054
Coming In Hot,213054
Can I Play With Madness,213106
Long As I Can See The Light,213237
Tim Tim Por Tim Tim,213237
Álibi,213237
Rehab,213240
Biruta,213263
Papelão,213263
Bass Trap,213289
Desordem,213289
Living After Midnight,213289
Wear You To The Ball,213342
Play The Game,213368
Macy's Day Parade,213420
My Poor Brain,213446
Motéis,213498
Sambassim (dj patife remix),213655
Medo De Escuro,213760
Somedays,213831
Are You Gonna Be My Girl,213890
Mr Funk Samba,213890
Jailbait,213916
And the Cradle Will Rock...,213968
It's Electric,213995
Arms Around Your Love,214016
Heaven Is,214021
Extraordinary Girl,214021
Brejo Da Cruz,214099
Lavadeira,214256
Back Door Man,214360
On The Run,214595
Livre Pra Viver,214595
Paint It Black,214752
Me Deixas Louca,214831
Prazer E Fé,214831
Corpse (These Chains Are Way Too Long),214909
The Duke,214961
Do You Love Me,214987
Soul Kitchen,215066
Whatever Gets You Thru the Night,215084
Help Help,215092
Dog Eat Dog,215196
Drain You,215196
Canção Do Novo Mundo,215353
Slowness,215386
Army Ants,215405
Salustiano Song,215405
Flores,215510
Dissident,215510
Wild Flower,215536
[Just Like] Starting Over,215549
Going To California,215693
Respectable,215693
I Am Mine,215719
Deuces Are Wild,215875
Magamalabares,215875
Get On The Good Foot,215902
Runnin' With The Devil,215902
You Got Me Rocking,215928
Cocaine,215928
Ozone Baby,215954
Faceless,216006
Hard Luck Woman,216032
Runnin' With The Devil,216032
09 - Iron Maiden,216058
Goin' Blind,216215
The Saint,216215
Brumário,216241
Stone Free,216293
Be Good Johnny,216320
Cidade,216346
Blew,216346
Everything I Need,216476
Malted Milk,216528
Parachutes,216555
The Wrong Child,216633
Top O' The Morning To Ya,216633
Blitzkrieg,216685
Que País É Este,216685
If You Have To Ask,216790
Another One Bites The Dust,216946
Midget,217025
Finally Forever,217035
Asa Branca,217051
Suck My Kiss,217234
Jeito Faceiro,217286
Oceano,217338
Réu Confesso,217391
Ashes To Ashes,217391
Chains Of Misery,217443
Scar Tissue,217469
Let's Spend The Night Together,217495
Papel Principal,217495
Mundaréu,217521
Senta A Pua,217547
Night Flight,217547
Uma Brasileira,217573
Behind The Wall Of Sleep,217573
Live To Win,217626
Goin' Blind,217652
Know Your Rights,217678
I'm A Greedy Man Pt.1,217730
One and the Same,217732
Já!!!,217782
Minor Thing,217835
Jump Around,217835
By The Way,218017
Gettin' Tighter,218044
Sítio Do Pica-Pau Amarelo,218070
Hey America,218226
I Will Follow,218253
Refazenda,218305
Família,218331
Shamrocks And Shenanigans,218331
From Here To Eternity,218357
Killing Birds,218498
You Sure Love To Ball,218540
Cabron,218592
Sex Type Thing,218723
Greasy Grass River,218749
Ainda Lembro,218801
Detroit Rock City,218880
Tombstone Shadow,218880
Original Fire,218916
Imagine,219078
Rise,219088
All Because Of You,219141
Come As You Are,219219
Óculos,219271
Dois Índios,219271
In A Little While,219271
Diamonds And Rust (Live),219350
Hats Off To (Roy) Harper,219376
House And The Rising Sun,219402
Can't Keep,219428
Seu Balancê,219454
Óia Eu Aqui De Novo,219454
Tendo A Lua,219585
Falando De Amor,219663
Shout It Out Loud,219742
Não Dá Mais Pra Segurar (Explode Coração),219768
Pot-Pourri N.º 5,219898
My Michelle,219961
Texarkana,220081
A Noite Do Meu Bem,220081
Scar On the Sky,220193
Damage Case,220212
Hammer To Fall,220316
Action,220604
Can't Get There From Here,220630
Time After Time,220734
Samba Do Jato,220813
Enquanto O Dia Não Vem,220891
Rock & Roll,220917
Don't Look Back,221100
The Refugee,221283
Quest For Fire,221309
Quintet for Horn, Violin, 2 Violas, and Cello in E Flat Major, K. 407/386c: III. Allegro,221331
Even Better Than The Real Thing,221361
I Don't Know What To Do With Myself,221387
Under My Thumb,221387
Wonderful Tonight,221387
Wake Up Alone,221413
Maracatu Atômico [Trip Hop],221492
King For A Day,221544
Já Foi,221544
Hand In My Pocket,221570
Na Ladeira,221570
Nothing But Love,221570
Plot 180,221596
Enter Sandman,221701
Spectacle,221701
Forty Days (Com DJ Hum),221727
Chega no Suingue,221805
Banho De Lua,221831
Não Vou Me Adaptar,221831
Adeus,221884
Warning,221910
Eclipse Oculto,221936
Shout At The Devil,221962
Fly Away,221962
Rindo À Toa,222066
Meia-Lua Inteira,222093
Moon Is Up,222119
Rock The Casbah,222145
Firmamento,222145
Down Under,222171
Confidência,222197
Electric Eye,222197
Juazeiro,222275
Manic Depression,222302
Nothin' To Lose,222354
Cochise,222380
Tudo Na Mais Santa Paz,222406
Alberta,222406
E Vamos À Luta,222406
Be Aggressive,222432
The Bazaar,222458
Ghandi (Live),222458
Prá Dizer Adeus,222484
Thick & Thin,222720
Feel Your Love Tonight,222850
Cuckoo For Caca,222902
Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll,222955
I Can't Remember,222955
Headspace,223033
Sangue Latino,223033
O Bêbado e a Equilibrista,223059
Esse Cara,223111
Bowels Of The Devil,223216
Dancing Days,223216
RV,223242
Seek And You Shall Find,223451
Das Lied Von Der Erde, Von Der Jugend,223583
The Morning After,223764
Hail, Hail,223764
Land Of Sunshine,223921
Drain You,223973
Encontrar Alguém,224078
Red House,224130
Welcome To Paradise,224208
Era Uma Vez,224261
Before You Accuse Me,224339
Reggae Odoyá,224470
Throw Away Your Television,224574
No Such Thing,224837
Vôo Sobre o Horizonte,225097
Get On The Snake,225123
Failling,225227
Pushin Forward Back,225278
This Velvet Glove,225280
Mensagem,225332
Calling Dr. Love,225332
Overkill,225410
Do The Evolution,225462
Firmamento,225488
Army Reserve,225567
Invisible Sun,225593
Green Grow The Rushes,225671
The First Time,225697
Sampa,225697
Milk It,225724
O Descobridor Dos Sete Mares,225854
Red Light,225854
O Trem Da Juventude,225880
Suite No. 3 in D, BWV 1068: III. Gavotte I & II,225933
Não Sou Mais Disso,225985
Dancing In The Street,225985
Paint It Black,226063
O Misterio do Samba,226142
Como É Duro Trabalhar,226168
Vamos Dançar,226194
Ela Disse Adeus,226298
You Are The Everything,226298
Shiny Happy People,226298
Domino,226377
Because You Are,226403
Walkin' Blues,226429
I'm The One,226507
Satisfaction,226612
Where Did I Go Wrong,226742
Wild Honey,226768
Kingston Town,226951
Todo Amor Que Houver Nesta Vida,227160
Love Conquers All,227186
Shock Me,227291
Samba Do Lado,227317
Com A Perna No Mundo,227448
Clash City Rockers,227500
E.C.T.,227500
Filho Maravilha,227526
Elevation,227552
Not The Doctor,227631
I Believe,227709
Why Can't This Be Love,227761
Toda Forma De Amor,227813
Holier Than Thou,227892
Heavy Love Affair,227892
Cinema Mudo,227918
Beautiful Boy,227995
Substitute,228022
Revenga,228127
Geração Coca-Cola (Ao Vivo),228153
Ain't Talkin' 'bout Love,228336
Waiting,228336
Broken City,228366
Gangland,228440
(Wish I Could) Hideaway,228466
Mouth To Mouth,228493
Faraó Divindade Do Egito,228571
Rainmaker,228623
Vamo Batê Lata,228754
Little Guitars,228806
Save Me,228832
Run to the Hills,228884
Mr. Brownstone,228924
Running Free,228937
Again,228989
Dance Enquanto é Tempo,229093
Virginia Moon,229198
Angel Of Harlem,229276
The Finest Worksong,229276
Elderly Woman Behind The Counter In A Small Town,229328
Holy Smoke,229459
Nervosa,229537
Beijo Partido,229564
Me Liga,229590
Naked Sunday,229720
Ironic,229825
Saturnine,229877
Pretty Persuasion,229929
Flight Of Icarus,229982
Maraçá,230008
Celebration Day,230034
Ain't Talkin' 'Bout Love,230060
Spirit Walker,230060
Save You,230112
In Your Honor,230191
I'm The Toughest,230191
Revolta Olodum,230191
Angel Of Harlem,230217
